States/UTs,Total Number of  Road Accidents on State Highways during 2018,Total Number of  Road Accidents on State Highways during 2019,Total Number of  Road Accidents on State Highways during 2020,Total Number of  Road Accidents on State Highways during 2021 - Number,Total Number of  Road Accidents on State Highways during 2021 - Rank
Andhra Pradesh,6398,5288,4508,4704,7
Arunachal Pradesh,94,90,39,75,27
Assam,2111,2102,1752,1782,16
Bihar,2089,1945,1711,2115,14
Chhattisgarh,3136,3010,2171,2166,12
Goa,331,423,328,444,21
Gujarat,4952,4558,3647,4394,8
Haryana,3226,2306,1872,1662,17
Himachal Pradesh,650,578,423,517,20
Jharkhand,1686,1458,1322,1041,18
Karnataka,10685,10446,9465,8820,4
Kerala,7552,8097,5876,7290,5
Madhya Pradesh,13910,13166,11751,11475,2
Maharashtra,7755,7214,5518,6328,6
Manipur,206,203,106,75,27
Meghalaya,9,50,21,46,31
Mizoram,13,36,27,40,32
Nagaland,111,69,116,143,24
Odisha,3104,3195,2365,2339,10
Punjab,1876,1815,1483,1825,15
Rajasthan,3504,3824,3257,3560,9
Sikkim,84,47,47,53,30
Tamil Nadu,22849,19279,17213,18656,1
Telangana,3521,2501,1992,2192,11
Tripura,186,213,174,171,23
Uttarakhand,342,342,220,294,22
Uttar Pradesh,13788,13402,10555,11096,3
West Bengal,2468,2403,1975,2126,13
Andaman and Nicobar Islands,101,68,34,31,33
Chandigarh,0,0,0,0,34
Dadra and Nagar Haveli,33,35,33,56,29
Daman and Diu,0,1,NA,NA,NA
Delhi,0,0,0,0,34
Jammu and Kashmir,664,610,616,662,19
Ladakh,NA,NA,NA,82,26
Lakshadweep,0,0,0,0,34
Puducherry,136,202,138,122,25
Total,117570,108976,90755,96382,NA
